City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
78.0,linguere,0.0,SN,1635438799.0,44.0,15.084502924339674,-14.335920221365086,97.02,4.61
79.0,hobyo,41.0,SO,1635438799.0,75.0,2.351268996648386,48.71650374398769,80.89,9.31
80.0,sitka,75.0,US,1635438799.0,87.0,47.03097615615755,-139.21805431488906,37.29,10.36
81.0,namibe,20.0,AO,1635438799.0,65.0,-16.703094872724833,4.188072133595313,70.61,16.49
82.0,tecoanapa,24.0,MX,1635438800.0,71.0,10.444540931003047,-100.20671148677349,84.69,3.8
83.0,krasnoye,41.0,RU,1635438800.0,75.0,54.76072887497759,85.2949317846415,45.19,2.91
84.0,atuona,42.0,PF,1635438800.0,69.0,-2.941509925355959,-117.92990036439744,78.64,18.41
85.0,thompson,90.0,CA,1635438800.0,100.0,66.84259819841807,-90.84820014435145,39.36,8.05
86.0,swellendam,74.0,ZA,1635438801.0,76.0,-33.16561306328826,20.63454688187258,67.33,10.02
87.0,hearst,88.0,CA,1635438801.0,58.0,51.108487899252935,-82.7034813578242,44.85,6.76
88.0,upernavik,41.0,GL,1635438801.0,63.0,77.97864177274772,-54.21869558243981,19.24,5.97
89.0,luderitz,2.0,NA,1635438802.0,83.0,-29.282785935272265,12.347517460027348,61.48,10.96
90.0,bussolengo,0.0,IT,1635438802.0,62.0,45.46535200009191,10.859110168002104,60.06,3.44
91.0,okhotsk,45.0,RU,1635438802.0,91.0,59.11004511176748,143.68070682897195,19.56,7.81
92.0,roald,40.0,NO,1635438802.0,87.0,71.53596230951479,1.7761566023467878,53.91,5.75
93.0,airai,97.0,PW,1635438803.0,91.0,16.374829973239073,138.8831314951256,63.14,1.19
94.0,nome,90.0,US,1635438803.0,79.0,64.80499420357106,-164.27216756290193,17.67,0.0
95.0,cabo san lucas,1.0,MX,1635438678.0,61.0,12.95343853688054,-118.34907074043913,83.52,3.0
96.0,bolisong,45.0,PH,1635438803.0,84.0,9.714733235140088,123.11477818858572,79.34,5.7
97.0,pilar,59.0,PH,1635438803.0,53.0,10.482245177908226,128.08393690117646,85.93,11.77
98.0,constitucion,7.0,MX,1635438804.0,59.0,23.011521768146835,-113.67072626841001,66.54,16.42
99.0,makakilo city,90.0,US,1635438804.0,89.0,5.071958832274149,-167.1597153585474,73.72,3.44
100.0,laje,38.0,BR,1635438804.0,33.0,-10.528338090903418,-40.78993512337925,89.35,9.66
101.0,katsuura,40.0,JP,1635438805.0,62.0,21.564276286313188,149.85396184122055,62.19,19.77
102.0,yuxia,100.0,CN,1635438805.0,75.0,33.416443562302774,108.78199206856777,48.81,2.17
103.0,bodden town,40.0,KY,1635438684.0,66.0,18.163546455576935,-80.52280819764863,89.6,10.36
104.0,jinchang,46.0,CN,1635438865.0,40.0,41.57288528661326,102.38251373043403,45.7,7.11
105.0,richards bay,98.0,ZA,1635438865.0,69.0,-34.63716108692488,37.81362289479,67.69,14.07
106.0,praya,75.0,ID,1635438866.0,94.0,-11.712405380911306,116.20192836116615,73.94,8.05
107.0,matucana,43.0,PE,1635438866.0,47.0,-12.068738027229529,-76.40736072093017,70.83,4.63
108.0,georgetown,40.0,SH,1635438600.0,90.0,-17.997585149231682,-21.075433653722627,78.73,9.22
109.0,gigmoto,75.0,PH,1635438866.0,86.0,14.430548267568895,126.43072031040111,79.3,13.13
110.0,kodiak,1.0,US,1635438867.0,86.0,40.50871175676659,-153.41576018498418,27.91,5.75
111.0,yellowknife,75.0,CA,1635438661.0,100.0,89.52657129307352,-100.32397794952988,34.41,4.61
112.0,katherine,75.0,AU,1635438867.0,58.0,-16.658854440914524,131.32358588621418,86.32,9.22
113.0,lompoc,1.0,US,1635438867.0,62.0,19.724418033952176,-131.9397256437283,80.08,8.05
114.0,bud,100.0,NO,1635438868.0,96.0,69.2698068298771,4.957445997214705,55.35,8.61
115.0,hailey,20.0,US,1635438868.0,81.0,43.677099471356485,-114.42289141134746,41.9,5.75
116.0,slave lake,1.0,CA,1635438868.0,48.0,55.47697927685732,-114.21006478012852,40.98,18.41
117.0,hervey bay,4.0,AU,1635438868.0,82.0,-22.443397234177297,155.4773568238448,75.02,16.51
118.0,cidreira,4.0,BR,1635438869.0,75.0,-60.146782988665706,-21.431961352197362,72.28,16.53
119.0,vaini,40.0,TO,1635438869.0,83.0,-41.87782406305777,-168.5525433813657,73.56,8.05
120.0,kahului,1.0,US,1635438783.0,87.0,22.85103519603311,-154.1251549457065,75.85,0.0
121.0,ribeira grande,40.0,PT,1635438869.0,77.0,26.16292134286543,-43.65841998637595,68.4,14.23
122.0,monteiro,37.0,BR,1635438870.0,24.0,-8.12217172049617,-36.99193785789734,94.05,13.44
123.0,henties bay,77.0,NA,1635438870.0,80.0,-21.404492177186057,10.939051409356466,66.85,9.37
124.0,puerto leguizamo,87.0,CO,1635438870.0,64.0,0.0007270832034294017,-75.31800047529278,84.47,2.84
125.0,inirida,100.0,CO,1635438870.0,78.0,2.49565623682534,-67.641909197515,81.64,2.55
126.0,nikolskoye,100.0,RU,1635438871.0,88.0,39.294266267622135,170.29841680900256,48.87,6.6
127.0,lagoa,99.0,PT,1635438871.0,74.0,45.874997525272164,-32.68517627318107,66.88,12.82
128.0,aginskoye,4.0,RU,1635438871.0,73.0,54.35775340067167,95.69894460936212,35.1,5.21
129.0,hofn,90.0,IS,1635438871.0,87.0,66.96570858624278,-13.813330643079155,46.42,21.85
130.0,aukra,75.0,NO,1635438872.0,93.0,62.80942050166374,6.891585041403943,53.76,3.44
131.0,buala,73.0,SB,1635438872.0,81.0,0.2901655880610434,162.7353887514546,80.73,5.14
132.0,acapulco,1.0,MX,1635438872.0,74.0,6.184099907944528,-103.39849015884847,84.02,3.44
133.0,port elizabeth,20.0,ZA,1635438785.0,88.0,-83.40843924017236,37.683693214275934,72.1,2.3
134.0,pangnirtung,90.0,CA,1635438873.0,100.0,65.57107916962468,-65.67247377776812,32.0,2.3
135.0,pisco,20.0,PE,1635438873.0,82.0,-27.169247675103378,-94.02228815102889,64.45,9.22
136.0,pevek,99.0,RU,1635438873.0,95.0,77.05030936157416,165.61797074932912,2.07,2.93
137.0,munak,0.0,IN,1635438873.0,45.0,29.440126845412422,76.77573101499905,70.65,3.87
138.0,korla,37.0,CN,1635438874.0,41.0,35.48740969933402,84.61338477647331,49.68,1.86
139.0,kangaba,99.0,ML,1635438874.0,81.0,11.959884193710025,-8.726113873320145,76.39,6.51
140.0,norsup,1.0,VU,1635438874.0,82.0,-16.953473841231528,164.62393379248346,78.35,3.87
141.0,mar del plata,0.0,AR,1635438874.0,31.0,-43.242203960162456,-48.38704771631882,93.22,14.97
142.0,seoul,0.0,KR,1635438608.0,87.0,36.18834337693447,128.57182283178707,49.39,1.14
143.0,kysyl-syr,100.0,RU,1635438875.0,82.0,63.34165911696809,124.54608683302484,20.57,12.97
144.0,longyearbyen,0.0,SJ,1635438875.0,79.0,89.74565436106366,25.891317620352652,19.24,6.91
145.0,esperance,97.0,AU,1635438875.0,62.0,-54.699375046504365,127.35846163773562,48.04,8.21
146.0,qui nhon,99.0,VN,1635438876.0,90.0,13.626673826242865,108.86763082986573,76.68,6.62
147.0,anadyr,0.0,RU,1635438876.0,84.0,62.46683876086772,176.48221749773876,-7.1,6.71
148.0,kropotkin,53.0,RU,1635438876.0,54.0,58.860644616436815,117.3683473970143,46.2,4.81
149.0,omsukchan,72.0,RU,1635438791.0,93.0,65.41033782683823,157.82997763526328,6.17,6.49
150.0,east london,0.0,ZA,1635438876.0,83.0,-45.30659658122061,38.192068791282196,68.94,14.97
151.0,orthez,61.0,FR,1635438877.0,50.0,43.367482208975474,-1.067024969815975,71.04,2.64
152.0,angoche,17.0,MZ,1635438877.0,69.0,-15.93461009355326,40.018854266138675,76.23,15.97
153.0,auraiya,0.0,IN,1635438877.0,51.0,26.440136858367737,79.55255032578702,71.28,1.59
154.0,saskylakh,100.0,RU,1635438877.0,98.0,89.38045157745086,120.9942431338958,-0.85,5.12
155.0,carnarvon,0.0,AU,1635438878.0,63.0,-25.51279711473613,100.88623549069024,66.27,21.85
156.0,lavrentiya,100.0,RU,1635438878.0,85.0,75.51094833070923,-170.49468860348406,15.84,7.67
157.0,san luis,4.0,MX,1635438690.0,20.0,29.439866650753913,-114.67533603291443,92.21,22.75
158.0,saint-philippe,11.0,RE,1635438878.0,79.0,-51.64244295072117,66.80924859373286,76.59,3.65
159.0,mount gambier,90.0,AU,1635438644.0,100.0,-48.689504585882126,131.16719577005864,48.11,17.27
160.0,jalu,79.0,LY,1635438939.0,36.0,29.12592474036998,23.435162021762096,77.59,3.2
161.0,norman wells,75.0,CA,1635438939.0,93.0,66.89721131758239,-120.57639214339338,19.44,3.44
162.0,provideniya,99.0,RU,1635438939.0,87.0,44.11036938525382,-175.5928800572375,11.88,4.97
163.0,vryburg,94.0,ZA,1635438939.0,70.0,-26.406029297452577,25.012849548884958,65.46,16.06
164.0,matara,97.0,LK,1635438940.0,90.0,-1.0084074252031883,81.23198300553764,77.36,7.81
165.0,jalingo,10.0,NG,1635438940.0,57.0,8.161727654251195,12.047735704293984,84.63,3.29
166.0,paita,33.0,PE,1635438940.0,68.0,-5.8385489059048865,-82.89761035516324,72.16,15.1
167.0,warmbad,23.0,NA,1635438940.0,51.0,-28.532509932278614,18.686926356335903,72.82,19.22
168.0,grand gaube,3.0,MU,1635438941.0,70.0,-12.430701982875291,61.664389452441725,75.38,5.01
169.0,ancud,68.0,CL,1635438941.0,70.0,-38.919522501762145,-105.69851653058582,60.33,7.81
170.0,dodola,96.0,ET,1635438941.0,78.0,6.860447696387794,39.505568902903036,55.63,2.37
171.0,hernani,0.0,ES,1635438941.0,49.0,43.24494232071149,-1.8780072842924085,71.42,1.99
172.0,antofagasta,18.0,CL,1635438677.0,64.0,-22.874687370916632,-78.76801342324036,63.68,8.93
173.0,guerrero negro,0.0,MX,1635438828.0,32.0,18.427387764173943,-128.2240712939632,76.33,1.68
174.0,nishihara,20.0,JP,1635438942.0,64.0,19.078177405653875,137.19485427355318,72.68,5.75
175.0,beringovskiy,29.0,RU,1635438942.0,86.0,54.19257740002607,176.4028849654713,5.18,8.57
176.0,alice springs,62.0,AU,1635438942.0,27.0,-22.965935772742327,135.04755396952146,76.55,5.75
177.0,castro,99.0,CL,1635438943.0,77.0,-50.12394416313742,-104.02327235559942,70.21,6.49
178.0,berdigestyakh,77.0,RU,1635438789.0,82.0,63.118653631604644,125.18440578961872,20.41,10.56
179.0,mahebourg,20.0,MU,1635438943.0,78.0,-42.71899829801126,75.90930606834101,75.25,11.5
180.0,ostersund,0.0,SE,1635438943.0,93.0,64.55685199126111,15.72100800471813,46.85,8.05
181.0,gorontalo,11.0,ID,1635438943.0,95.0,0.664486852017248,123.34025157832417,75.51,2.24
182.0,kemijarvi,100.0,FI,1635438944.0,99.0,68.42415763458973,28.189993917306225,35.74,8.48
183.0,alekseyevka,100.0,RU,1635438944.0,87.0,52.424974525127396,47.79189627206193,46.74,10.63
184.0,la romana,40.0,DO,1635438944.0,70.0,17.883861010713417,-68.73590446294988,88.16,13.8
185.0,walvis bay,0.0,NA,1635438944.0,31.0,-26.026828133587486,3.6401592630712685,77.95,16.11
186.0,nador,20.0,MA,1635438945.0,77.0,34.39234756055134,-3.139733275921401,71.67,4.61
187.0,brigantine,40.0,US,1635438945.0,72.0,35.78431818616406,-70.28690740418466,62.65,0.0
188.0,evensk,100.0,RU,1635438945.0,95.0,62.54212275412078,157.7711540484928,10.78,6.24
189.0,ulaangom,100.0,MN,1635438945.0,61.0,49.60849425936328,92.5977917935989,36.55,3.22
190.0,long,52.0,TH,1635438946.0,95.0,18.066526568168598,99.71199247316235,72.77,2.51
191.0,dwarka,2.0,IN,1635438946.0,51.0,17.88932792390017,64.3801677020239,82.69,10.4
192.0,bintulu,40.0,MY,1635438946.0,100.0,2.8860208363258266,113.94976613571606,75.61,3.0
193.0,ouadda,77.0,CF,1635438946.0,89.0,7.686161748730029,22.19223125195475,70.32,3.44
194.0,semnan,8.0,IR,1635438947.0,46.0,35.087145854440834,53.39396404639746,52.84,0.92
195.0,noyabrsk,100.0,RU,1635438947.0,97.0,63.90671321501725,75.29111382322216,29.23,17.76
196.0,mantua,8.0,CU,1635438947.0,71.0,21.380918453107327,-84.89684042195384,62.92,1.54
197.0,mirabad,3.0,AF,1635438948.0,31.0,29.975046300742733,60.74134324882368,65.07,7.58
198.0,chuy,0.0,UY,1635438948.0,50.0,-49.46677074503705,-39.2093561544618,79.61,10.85
199.0,bambous virieux,20.0,MU,1635438948.0,78.0,-33.25589197379442,83.90161723982345,75.22,11.5
200.0,kiama,62.0,AU,1635438948.0,85.0,-35.816678096451234,152.6709186180119,68.0,7.36
201.0,maine-soroa,27.0,NE,1635438949.0,8.0,13.308940317674356,11.993441954315813,92.05,11.3
202.0,otjimbingwe,53.0,NA,1635438949.0,39.0,-22.292876041851173,15.913805090291333,79.38,15.05
